"id_pesquisador","nome_pesquisador","email","historico_projetos","financiamento_anterior","publicacoes","id_instituicao","nome_instituicao","endereco","historico_projetos-2","id_projeto","titulo_projeto","resumo","orcamento_aprovado","cronograma","instituicao_id","funcao_pesquisador_projeto","id_edital","titulo_edital","descricao_edital","criterios","prazo","requisitos","id_proposta","data_submissao","status_proposta","avaliacao","id_financiamento","valor_financiamento","etapas","valor_liberado","data_liberacao","status_financiamento","id_despesa","descricao_despesa","valor_despesa","data_despesa","id_relatorio_progresso","data_submissao_relatorio_progresso","status_projeto","descricao_relatorio_progresso","id_relatorio_financeiro","data_submissao_relatorio_financeiro","valor_gasto","valor_aprovado_relatorio_financeiro","conformidade","id_relatorio_pesquisador_instituicao","descricao_relatorio_pesquisador_instituicao"
20,"Viviane Pereira","viviane.pereira@utimonitoring.com","Sistema de Monitoramento de Pacientes com IA em UTIs",34000.0,"Monitoramento em Tempo Real com IA, Cuidado Intensivo Automatizado",16,"Faculdade Católica Salesiana","Rua Santa Filomena, 450, Santa Lúcia, Vitória - ES","Projetos educacionais e psicologia aplicada",16,"Solução de IA para Triagem de Pacientes em Pronto Socorro","Desenvolvimento de um sistema inteligente que usa IA para realizar a triagem inicial de pacientes em pronto socorros, agilizando o atendimento.",75000.0,"Pesquisa, Desenvolvimento, Testes",16,"Pesquisador Júnior",16,"Edital de IA para Gestão de Estoques Hospitalares","Projetos voltados ao uso de IA para otimização e previsão de demandas em estoques hospitalares, com foco em medicamentos e suprimentos.","Capacidade preditiva, Impacto na gestão hospitalar, Sustentabilidade da solução","2026-09-30","Hospitais, Empresas de tecnologia",16,"2024-10-30","Submetida","Avaliação preliminar da Solução de IA para Triagem de Pacientes em Pronto Socorro",16,75000.0,4,35000.0,"2025-04-01","Em Andamento",16,"Compra de Licenças de Software",15000.0,"2025-03-01",16,"2024-09-16","Em Andamento","A IA para gestão de estoques hospitalares está em fase de testes para otimizar os recursos hospitalares.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"Felipe Cardoso","felipe.cardoso@roborehab.com","Integração de IA e Robótica para Reabilitação Física",45000.0,"Robótica na Reabilitação, IA em Dispositivos Assistivos",3,"Faculdade Multivix Vitória","Rua Dr. João Carlos de Souza, Santa Lúcia, Vitória - ES","Projetos na área de saúde, tecnologia e engenharia",3,"Sistema de Monitoramento de Dados Urbanos para Cidades Inteligentes","Desenvolvimento de um sistema de monitoramento de dados de infraestrutura e trânsito em tempo real, utilizando big data e IoT.",75000.0,"Desenvolvimento, Testes, Implementação",3,"Assistente",1,"Edital para Inovações em IA para Saúde","Seleção de projetos que visam desenvolver inovações em Inteligência Artificial aplicada à saúde, com foco em diagnóstico e tratamento automatizado.","Impacto no setor de saúde, Uso de IA, Viabilidade técnica","2024-09-30","Instituições de ensino superior, Empresas de tecnologia",1,"2024-08-01","Submetida","Avaliação preliminar da Plataforma de Inteligência Artificial para Saúde",3,75000.0,4,75000.0,"2024-08-01","Concluído",33,"Contratação de Pessoal Temporário",30000.0,"2025-09-10",3,"2024-09-03","Em Andamento","O projeto de cidades inteligentes está na fase de coleta de dados urbanos para monitoramento em tempo real.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"Melissa Ribeiro","melissa.ribeiro@healthdatagov.org","Plataforma de Gerenciamento de Dados Clínicos com Big Data",39000.0,"Gerenciamento de Dados Clínicos, Big Data na Saúde",27,"Centro Universitário Serra dos Órgãos (UNIFESO)","Avenida Alberto Torres, 111, Teresópolis - RJ","Projetos em biotecnologia e saúde animal",27,"Solução de IA para Previsão de Demandas de Medicamentos","Desenvolvimento de uma solução baseada em IA para prever a demanda por medicamentos em hospitais e clínicas.",160000.0,"Pesquisa, Desenvolvimento, Testes",27,"Pesquisador Sênior",23,"Edital de Machine Learning para Prevenção de Doenças Crônicas","Fomento ao desenvolvimento de modelos de machine learning para prevenção de doenças crônicas em populações de risco.","Precisão do modelo, Impacto na saúde pública, Viabilidade técnica","2027-04-30","Instituições de pesquisa médica, Empresas de TI",23,"2024-11-30","Aprovada","Plataforma de Gerenciamento de Dados Clínicos com Big Data aprovada com destaque",27,160000.0,2,100000.0,"2025-09-15","Concluído",57,"Contratação de Serviços Técnicos",18000.0,"2026-06-30",27,"2024-09-27","Concluído","O projeto de IA para análise de dados clínicos em telemedicina foi finalizado e está em uso.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"Juliana Souza","juliana.souza@recomendamed.org","Plataforma de Recomendação de Tratamentos Médicos com IA",40000.0,"Sistemas de Recomendação em Saúde, IA aplicada a Tratamentos Personalizados",12,"Centro Universitário do Espírito Santo (UNESC)","Rua Maria Rita de Jesus, 300, Colatina - ES","Pesquisas em ciências sociais aplicadas e engenharia de produção",12,"Análise de Dados para Prevenção de Doenças Crônicas","Criação de uma plataforma para análise de dados de saúde que visa identificar e prevenir doenças crônicas como diabetes e hipertensão.",105000.0,"Desenvolvimento, Implementação, Monitoramento",12,"Pesquisador Júnior",11,"Edital para Soluções de IA em UTIs","Fomento ao desenvolvimento de sistemas de IA para monitoramento contínuo de pacientes em unidades de terapia intensiva (UTI).","Capacidade de monitoramento, Impacto no tratamento de pacientes, Sustentabilidade da solução","2026-03-31","Hospitais, Instituições de pesquisa médica",11,"2024-10-05","Aprovada","Sistema de Monitoramento de Pacientes com IA em UTIs aprovado com recomendações",12,105000.0,4,65000.0,"2025-02-01","Em Andamento",42,"Contratação de Consultores Externos",20000.0,"2026-01-05",12,"2024-09-12","Em Andamento","A solução de telemedicina com big data está sendo aprimorada com novos algoritmos de análise de dados clínicos.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"Bruno Martins","bruno.martins@telemedicine.org","Plataforma de Telemedicina com Análise de Dados Médicos",12000.0,"Telemedicina e Análise de Dados em Tempo Real, IA para Atendimento Remoto",8,"Centro de Pesquisas René Rachou (FIOCRUZ Minas)","Avenida Augusto de Lima, 1715, Barro Preto, Belo Horizonte - MG","Projetos em saúde pública e biomedicina",8,"Blockchain para Gestão Segura de Dados Médicos","Implementação de uma solução baseada em blockchain para garantir a segurança e a privacidade dos dados médicos em sistemas de saúde.",60000.0,"Desenvolvimento, Testes, Implementação",8,"Pesquisador Júnior",5,"Edital de Análise de Sentimento para Políticas Públicas","Fomento a projetos de monitoramento de opinião pública por meio de análise de sentimento em redes sociais, aplicando técnicas de NLP.","Capacidade de análise em tempo real, Impacto social, Precisão dos modelos de NLP","2025-05-30","Instituições de pesquisa, Organizações governamentais",5,"2024-09-10","Aprovada","Análise de Sentimento em Redes Sociais aprovada com ressalvas",8,60000.0,4,30000.0,"2024-12-01","Em Andamento",8,"Publicação de Artigos",12000.0,"2024-11-01",8,"2024-09-08","Em Andamento","O desenvolvimento de wearables para monitoramento da saúde de idosos está em fase de prototipagem.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"Lucas Oliveira","lucas.oliveira@realtimebigdata.org","Solução de Big Data para Análise de Dados Clínicos em Tempo Real",11000.0,"Análise de Dados Clínicos com Big Data, Monitoramento de Pacientes em Tempo Real",9,"Fundação de Amparo à Pesquisa do Espírito Santo (FAPES)","Avenida Marechal Mascarenhas de Moraes, 2025, Bento Ferreira, Vitória - ES","Projetos de apoio à pesquisa científica em diversas áreas",9,"Plataforma de Recomendação de Tratamentos Médicos com IA","Sistema baseado em IA para recomendar tratamentos médicos personalizados com base em históricos de pacientes e dados clínicos.",130000.0,"Pesquisa, Desenvolvimento, Testes, Implementação",9,"Pesquisador Sênior",7,"Edital de IA para Diagnóstico de Imagens Médicas","Seleção de projetos para desenvolver algoritmos de IA voltados à análise de imagens médicas e apoio ao diagnóstico precoce.","Precisão dos algoritmos, Impacto na saúde, Viabilidade técnica","2025-09-30","Instituições de saúde, Laboratórios de tecnologia",7,"2024-09-20","Submetida","Avaliação preliminar do Diagnóstico Automatizado com IA em Imagens Médicas",9,130000.0,2,90000.0,"2024-12-15","Em Andamento",39,"Desenvolvimento de Softwares",35000.0,"2025-11-20",9,"2024-09-09","Concluído","A plataforma de análise preditiva para doenças crônicas está em operação em hospitais públicos.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"Isabela Ribeiro","isabela.ribeiro@governtech.ai","Automação de Processos em Governos Locais com IA",38000.0,"IA na Gestão Pública, Automação de Processos Governamentais",24,"Faculdade Pitágoras de Linhares","Rua Augusto Calmon, 2497, Linhares - ES","Projetos em ciências econômicas e gestão de negócios",24,"Chatbots com IA para Atendimento em Centros de Saúde","Criação de chatbots inteligentes para atendimento ao público em centros de saúde, melhorando o acesso a informações e triagem inicial.",120000.0,"Desenvolvimento, Treinamento, Implementação",24,"Pesquisador Júnior",25,"Edital de IA para Triagem de Pacientes em Centros de Emergência","Desenvolvimento de sistemas inteligentes de triagem para melhorar o atendimento em centros de emergência, utilizando IA e machine learning.","Precisão da triagem, Impacto na saúde, Escalabilidade","2027-06-30","Instituições de saúde, Startups de tecnologia",25,"2024-12-05","Submetida","Avaliação preliminar da IA para Prevenção de Epidemias com Análise de Mobilidade",24,120000.0,2,70000.0,"2025-08-01","Em Andamento",24,"Consultoria Técnica",20000.0,"2025-06-01",24,"2024-09-24","Em Andamento","O sistema de IA para previsão de demandas em hospitais está em fase de ajustes para otimizar a alocação de recursos.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"Renato Cunha","renato.cunha@medchatbots.org","Chatbots com IA para Atendimento em Centros de Saúde",42000.0,"IA Conversacional para Atendimento em Saúde, Chatbots e Automação Médica",8,"Centro de Pesquisas René Rachou (FIOCRUZ Minas)","Avenida Augusto de Lima, 1715, Barro Preto, Belo Horizonte - MG","Projetos em saúde pública e biomedicina",8,"Blockchain para Gestão Segura de Dados Médicos","Implementação de uma solução baseada em blockchain para garantir a segurança e a privacidade dos dados médicos em sistemas de saúde.",60000.0,"Desenvolvimento, Testes, Implementação",8,"Coordenador",5,"Edital de Análise de Sentimento para Políticas Públicas","Fomento a projetos de monitoramento de opinião pública por meio de análise de sentimento em redes sociais, aplicando técnicas de NLP.","Capacidade de análise em tempo real, Impacto social, Precisão dos modelos de NLP","2025-05-30","Instituições de pesquisa, Organizações governamentais",5,"2024-09-10","Aprovada","Análise de Sentimento em Redes Sociais aprovada com ressalvas",8,60000.0,4,30000.0,"2024-12-01","Em Andamento",8,"Publicação de Artigos",12000.0,"2024-11-01",8,"2024-09-08","Em Andamento","O desenvolvimento de wearables para monitoramento da saúde de idosos está em fase de prototipagem.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"Eduardo Lima","eduardo.lima@healthstock.org","IA para Otimização de Estoques em Hospitais",49000.0,"Gestão de Estoques com IA, Otimização de Recursos Hospitalares",15,"Instituto de Pesquisas Energéticas e Nucleares (IPEN)","Avenida Professor Lineu Prestes, 2242, São Paulo - SP","Projetos em energia nuclear e tecnologia de materiais",15,"Automação de Processos em Governos Locais com IA","Desenvolvimento de soluções baseadas em IA para automatizar processos burocráticos e aumentar a eficiência de serviços governamentais.",92000.0,"Pesquisa, Desenvolvimento, Implementação",15,"Pesquisador Júnior",15,"Edital de Segurança de Dados Clínicos com Blockchain","Fomento ao desenvolvimento de soluções baseadas em blockchain para garantir a segurança e privacidade dos dados clínicos.","Uso de blockchain, Segurança dos dados, Sustentabilidade","2026-08-31","Empresas de TI, Instituições de saúde",15,"2024-10-25","Reprovada","Automação de Processos em Governos Locais com IA não foi aceita",15,92000.0,2,30000.0,"2025-03-15","Concluído",45,"Viagens para Coleta de Dados",20000.0,"2026-02-15",15,"2024-09-15","Concluído","A plataforma de blockchain para gestão segura de dados clínicos foi finalizada e implantada em hospitais parceiros.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"Roberta Fernandes","roberta.fernandes@medchatbots.ai","Chatbots com IA para Atendimento em Centros de Saúde",15000.0,"Chatbots Inteligentes para Atendimento Médico, Automação de Serviços de Saúde",1,"Universidade Federal do Espírito Santo (UFES)","Avenida Fernando Ferrari, 514, Goiabeiras, Vitória - ES","Projetos em biotecnologia, saúde e sustentabilidade",29,"Solução de Big Data para Análise de Dados Clínicos em Tempo Real - Versão Avançada","Versão aprimorada da solução de Big Data para análise de dados clínicos em tempo real.",120000.0,"Desenvolvimento, Implementação, Validação",1,"Pesquisador Sênior",27,"Edital de IA para Telemedicina e Análise de Dados Clínicos","Projetos focados no desenvolvimento de IA para análise de dados clínicos em plataformas de telemedicina.","Capacidade de análise, Impacto no atendimento médico, Viabilidade técnica","2027-08-31","Empresas de TI, Instituições de saúde",27,"2024-12-15","Reprovada","Solução de IA para Previsão de Demandas de Medicamentos não foi aceita",29,120000.0,2,60000.0,"2025-10-15","Em Andamento",29,"Compra de Licenças de Software",15000.0,"2025-07-30",29,"2024-09-29","Em Andamento","A solução de big data para análise de dados clínicos em tempo real está sendo validada com dados hospitalares.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
